Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts
Acton Lane B,North Acton,Ealing,Greater London,51°31′50″N 0°15′21″W,Coal,150,1950,1983,33,Brownfield,Partial,,,,,,, 
Agecroft A,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,100,1925,1992,67,Redeveloped,Partial,,,,,,,
Agecroft B,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,120,1962,1992,30,Redeveloped,Partial,,,,,,,
Agecroft C,Pendlebury,Salford,North West,53°30′55″N 2°18′03″W,Coal,240,1962,1992,30,Redeveloped,Partial,,,,,,,
Ashford B,Ashford,Kent,South East,51°08′44″N 0°52′08″E,Diesel,10,1954,1981,27,Remediation then redevelopment,Partial,,,,,,,
Bankside B,Bankside,Southwark,Greater London,51°30′25″N 0°05′55″W,Oil,300,1952,1981,29,Redeveloped,Full,,,,,,,
Barking C,Creekmouth,Barking and Dagenham,Greater London,51°30′59″N 0°06′40″E,Coal,220,1954,1981,27,Remediation,Full,,,,,,,
Barking Reach,Dagenham,Barking and Dagenham,Greater London,51°31′16″N 0°08′49″E,CCGT,1000,1995,2016,21,Redeveloped,Full,,,,,,,
Battersea B,Battersea,Wandsworth,Greater London,51°28′54″N 0°08′41″W,Coal,503,1955,1983,28,Redeveloped,Full,,,,,,,
Berkeley 1,Berkeley,Gloucestershire,South West,51°41′33″N 2°29′37″W,Nuclear (magnox),138,1962,1989,27,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Berkeley 2,Berkeley,Gloucestershire,South West,51°41′33″N 2°29′37″W,Nuclear (magnox),138,1962,1988,26,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Blackwall Point,Greenwich Peninsula,Greenwich,Greater London,51°29′52″N 0°00′41″E,Coal,100.5,1900,1981,81,Redeveloped,Partial,,,,,,,
Blyth A,Cambois,Northumberland,North East,55°08′33″N 1°31′37″W,Coal,480,1958,1999,41,Partially Demolished,Passive rewilding,,,,,,,
Blyth B,Cambois,Northumberland,North East,,Coal,1250,1962,2001,39,Partially Demolished,Passive rewilding,,,,,,,
Bold,Bold,Liverpool City Region,North West,53°26′02″N 2°41′18″W,Coal,300,1960,1990,30,Redeveloped,Partial,,,,,,,
Bradwell A,Bradwell-on-Sea,Essex,East,51°44′29″N 0°53′49″E,Nuclear (magnox),123,1962,2002,40,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Brunswick Wharf,Blackwall,Tower Hamlets,Greater London,51°30′29″N 0°00′04″E,Coal+oil,340,1952,1984,32,Redeveloped,Partial,,,,,,,
Bulls Bridge,Hayes,Hillingdon,Greater London,51°30′07″N 0°24′32″W,OCGT,280,1980,1993,13,Redeveloped,Partial,,,,,,,
Calder Hall,Seascale,Cumbria,North West,54°25′14″N 3°29′51″W,Nuclear (magnox),200,1956,2003,47,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Carrington Coal,Carrington,Greater Manchester,North West,53°26′09″N 2°24′39″W,Coal,240,1956,1991,35,New energy site,Partial,,,,,,,
Castle Donington,Castle Donington,Leicestershire,East Midlands,52°50′52″N 1°21′31″W,Coal,600,1958,1995,37,Redeveloped,Partial,,,,,,,
Chadderton B,Chadderton,Greater Manchester,North West,53°31′54″N 2°09′57″W,Coal,240,1955,1982,27,Redeveloped,Partial,,,,,,,
Cliff Quay[6],Ipswich,Suffolk,East,52°02′09″N 1°09′28″E,Coal,276,,1984,,Redeveloped,Partial,,,,,,,
Cottam,Cottam,Nottinghamshire,East Midlands,53°18′14″N 0°46′53″W,Coal,2000,1968,2019,51,Remediation,Full,,,,,,,
Croydon B,Purley,Croydon,Greater London,51°22′44″N 0°07′16″W,Coal,338,1950,1984,34,Redeveloped,Partial,,,,,,,
Deptford West,Deptford,Greater London,Greater London,51°28′57″N 0°01′13″W,Coal,158,1929,1983,54,Redeveloped,Full,,,,,,,
Derwenthaugh Coke Works,Swalwell,Tyne and Wear,North East,,Waste Gas,,1928,1986,58,Active remediation and rewilding,Full,,,,,,,
Didcot A,Didcot,Oxfordshire,South East,51°37′25″N 1°16′03″W,Coal,2109,1970,2013,43,Brownfield,Full,,,,,,,
Doncaster B,Doncaster,South Yorkshire,Yorkshire and the Humber,53°31′27″N 1°08′46″W,Coal,122,1953,1983,30,Brownfield,Partial,,,,,,,
Drakelow A,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,240,1955,1984,29,Redeveloped,Full,,,,,,,
Drakelow B,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,480,1959,1993,34,Renewable energy site,Full,,,,,,,
Drakelow C,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,1450,1964,2003,39,Passive rewilding and redevelopment,Passive rewilding,,,,,,,
Dungeness A1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285,1965,2006,41,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Dungeness A2,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285,1965,2006,41,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Dungeness B1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (AGR),660,1983,2021,38,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Dunston B,Dunston,Tyne and Wear,North East,54°57′02″N 1°39′26″W,Coal,300,1951,1981,30,Redeveloped,Partial,,,,,,,
Earley[21],Earley,Berkshire,South East,,Diesel-fired gas turbine,111,1965,1982,17,Redeveloped,Partial,,,,,,,
East Yelland,Yelland,Devon,South West,,Coal,170,1955,1984,29,Brownfield,Partial,,,,,,,
Eggborough,Eggborough,North Yorkshire,Yorkshire and the Humber,53°42′42″N 1°07′37″W,Coal,1960,1967,2018,51,Remediation,Partial,,,,,,,
Elland,Elland,West Yorkshire,Yorkshire and the Humber,53°41′40″N 1°49′22″W,Coal,180,1959,1991,32,Redeveloped,Partial,,,,,,,
Fawley,Fawley,Hampshire,South East,50°49′00″N 1°19′44″W,Oil,968,1971,2013,42,Brownfield,Full,,,,,,,
Ferrybridge B,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,300,1959,1992,33,Brownfield,Full,,,,,,,
Ferrybridge C,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,2000,1966,2016,50,Brownfield,Full,,,,,,,
Fiddlers Ferry,Widnes – Warrington,Cheshire,North West,53°22′19″N 2°41′13″W,Coal,1989,1971,2020,49,Remediation then redevelopment,Partial,,,,,,,
Goldington,Bedford,Bedfordshire,East,52°08′15″N 0°25′39″W,Coal,180,1954,1983,29,Redeveloped,Partial,,,,,,,
Grain Oil,Grain,Kent,South East,51°26′43″N 0°42′54″E,Oil,1300,1979,2012,33,New energy site,Partial,,,,,,,
Great Yarmouth B,Great Yarmouth,Norfolk,East,52°35′02″N 1°44′00″E,Oil,252,1958,1994,36,New energy site,Partial,,,,,,,
Hams Hall B,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,306,1942,1981,39,Remediation then redevelopment,Full,,,,,,,
Hams Hall C,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,357,1958,1992,34,Remediation then rewilding,Full,,,,,,,
High Marnham,Dunham,Nottinghamshire,East Midlands,53°13′44″N 0°47′33″W,Coal,945,1959,2003,44,Renewable energy site,Full,,,,,,,
Hinkley Point A,Hinkley Point,Somerset,South West,51°12′31″N 3°08′01″W,Nuclear (magnox),470,1957,2000,43,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Hinkley Point B,Hinkley Point,Somerset,South West,51°12′33″N 3°07′39″W,Nuclear (AGR),1220,1976,2022,46,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Huddersfield[11],Huddersfield,West Yorkshire,North East,53°39′09″N 1°46′26″W,Coal,94,1893,1981,88,Redeveloped,Partial,,,,,,,
Huncoat,Accrington,Lancashire,North West,53°46′34″N 2°20′16″W,Coal,150,1956,1984,28,Brownfield,Partial,,,,,,,
Ince B,Ellesmere Port,Cheshire,North West,,Oil,1050,1984,1997,13,Redeveloped,Partial,,,,,,,
Ironbridge A,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,200,1932,1981,49,Passive rewilding,Passive rewilding,,,,,,,
Ironbridge B,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,1000,1969,2015,46,Remediation then redevelopment,Partial,,,,,,,
Keadby Coal,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53°35′40″N 0°45′02″W,Coal,360,1952,1984,32,New energy site,Partial,,,,,,,
Kingsnorth,Medway,Kent,South East,51°25′08″N 0°36′10″E,Coal,2000,1970,2012,42,Renewable energy site,Full,,,,,,,
Leicester[21],Leicester,Leicestershire,East Midlands,,OCGT,102,1976,1990,14,Redeveloped,Partial,,,,,,,
Little Barford A,Little Barford,Bedfordshire,East,52°12′17″N 0°16′02″W,Coal,120,1939,1981,42,New energy site,Partial,,,,,,,
Littlebrook C,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Coal,240,1956,1981,25,Brownfield,Full,,,,,,,
Littlebrook D,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Oil,1370,1981,2015,34,Brownfield,Full,,,,,,,
Lots Road,Lots Road,Chelsea,Greater London,51°28′40″N 0°10′53″W,Coal,1800,1905,2002,97,Redeveloped,Full,,,,,,,
Marchwood A,Marchwood,Hampshire,South East,50°53′54″N 1°26′13″W,oil,480,1953,1984,31,New energy site,Partial,,,,,,,
Meaford B,Meaford,Staffordshire,West Midlands,52°55′33″N 2°09′59″W,Coal,240,1957,1991,34,Brownfield,Partial,,,,,,,
Mexborough,Mexborough,South Yorkshire,Yorkshire and the Humber,53°29′37″N 1°15′49″W,Coal,120,1950,1981,31,Redeveloped,Partial,,,,,,,
North Tees C,Billingham,County Durham,North East,54°35′13″N 1°15′47″W,Coal,120,1949,1983,34,Brownfield,Partial,,,,,,,
Northfleet[6],Gravesham,Kent,South East,,Coal,720,1963,1991,28,Redeveloped,Partial,,,,,,,
Norwich[6],Norwich,Norfolk,East,52°37′15″N 1°19′06″E,Oil (gas turbine),110,1966,1986,20,Clean energy site,Partial,,,,,,,
Nottingham[21],Nottingham,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,148,1925,1981,56,Brownfield,Partial,,,,,,,
Oldbury nuclear power station,Oldbury,South Gloucestershire,South West,51°38′56″N 2°34′15″W,Nuclear (magnox),470,1967,2012,45,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Padiham B,Padiham,Lancashire,North West,53°47′44″N 2°19′39″W,Coal,240,1957,1993,36,Remediation then rewilding,Partial,,,,,,,
Portishead B,Portishead,Somerset,South West,51°29′28″N 2°45′18″W,Oil,298,1955,1982,27,Redeveloped,Full,,,,,,,
Portrack,Billingham,County Durham,North East,54°34′16″N 1°16′00″W,Waste,20,1977,1996,19,Redeveloped,Partial,,,,,,,
Ratcliffe-on-Soar,Ratcliffe-on-Soar,Nottinghamshire,East Midlands,52°51′55″N 1°15′18″W,Coal,2021,1968,2024,56,Brownfield,Full,,,,,,,
Richborough,Richborough,Kent,South East,51°18′36″N 1°20′55″E,Coal+oil,360,1962,1996,34,New energy site,Partial,,,,,,,
Roosecote A,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,Coal,120,1954,1986,32,Clean energy site,Partial,,,,,,,
Roosecote B,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,CCGT,229,1991,2012,21,Clean energy site,Partial,,,,,,,
Rugeley A,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,600,1963,1995,32,Remediation then clean redevelopment,Full,,,,,,,
Rugeley B,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,1006,1970,2016,46,Remediation then redevelopment,Full,,,,,,,
Rye House A,Hoddesdon,Hertfordshire,East,51°45′45″N 0°00′39″E,Coal,120,1953,1982,29,New energy site,Partial,,,,,,,
Sizewell A,Sizewell,Suffolk,East,52°12′54″N 1°37′11″E,Nuclear (magnox),650,1966,2006,40,"Decomissioning, restricted site",Partial (nuclear),,,,,,,
Skelton Grange A,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,360,1948,1983,35,Clean energy site,Partial,,,,,,,
Skelton Grange B,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,448,1960,1994,34,Clean energy site,Partial,,,,,,,
Spondon[38][39][11],Spondon,Derbyshire,East Midlands,52°54′23″N 1°24′03″W,Coal,18,1920,1982,62,Partially Demolished,Partial,,,,,,,
Staythorpe A,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,112,1950,1983,33,New energy site,Partial,,,,,,,
Staythorpe B,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,354,1962,1994,32,New energy site,Partial,,,,,,,
Stella North,Lemington,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,240,1954,1991,37,Redeveloped,Partial,,,,,,,
Stella South,Blaydon,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,300,1954,1991,37,Redeveloped,Partial,,,,,,,
Stourport B[21],Stourport,Worcestershire,West Midlands,,Coal,112,1950,1984,34,Redeveloped,Partial,,,,,,,
Teesside,Wilton,Redcar and Cleveland,North East,54°34′37″N 1°07′14″W,CCGT,1875,1993,2013,20,Brownfield,Partial,,,,,,,
Thornhill[11],Dewsbury,West Yorkshire,North East,53°40′38″N 1°39′17″W,Coal,186,1902,1982,80,New energy site,Partial,,,,,,,
Thorpe Marsh,Doncaster,South Yorkshire,Yorkshire and the Humber,53°34′50″N 1°05′07″W,Coal,1100,1963,1994,31,Remediation,Partial,,,,,,,
Tilbury A,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Oil,360,1956,1981,25,Clean energy site,Partial,,,,,,,
Tilbury B,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Coal+oil+biofuel,1131,1967,2013,46,Clean energy site,Partial,,,,,,,
Wakefield B,Wakefield,West Yorkshire,Yorkshire and the Humber,53°40′25″N 1°28′24″W,Coal,224,1957,1991,34,Redeveloped,Partial,,,,,,,
Walsall[21] (Birchills),Walsall,Birmingham,West Midlands,,Coal,191,1949,1982,33,Clean energy site,Partial,,,,,,,
Watford,Watford,Hertfordshire,East,51°38′34″N 0°24′16″W,Coal,27,1899,1990,91,Redeveloped,Partial,,,,,,,
West Burton A,Bole,Nottinghamshire,East Midlands,53°21′54″N 0°49′10″W,Coal,1972,1967,2023,56,Brownfield,Partial,,,,,,,
West Ham,Canning Town,London,Greater London,51°31′05″N 0°00′05″E,Coal,114,1904,1983,79,Redeveloped,Partial,,,,,,,
West Thurrock,West Thurrock,Essex,East,51°28′10″N 0°17′20″E,Coal,1300,1962,1993,31,Redeveloped,Partial,,,,,,,
Wilford,Wilford,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,316,1925,1981,56,Redeveloped,Partial,,,,,,,
Willington A,Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400,1957,1990,33,Redeveloped,Partial,,,,,,,
Willington B[49],Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400,1960,1990,30,Redeveloped,Partial,,,,,,,
Winfrith,Winfrith Newburgh,Dorset,South West,50°40′55″N 2°15′40″W,Nuclear,100,1968,1990,22,"Decomissioning, restricted site",Partial (nuclear),,,,,,,