Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used
Hinkley Point A,Hinkley Point,Somerset,South West,51°12′31″N 3°08′01″W,Nuclear (magnox),470.0,1957.0,2000,43.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20861111111111,-3.133611111111111,70.5,estimated,0.237,0.237,0.237,5.3,2.192,0.16,0.16,0.19,2.624,1.986,2000.0,0.237,0.237,0.237,5.3,2.192,0.16,0.16,0.19,2.624,1.986,2000.0
Hinkley Point B,Hinkley Point,Somerset,South West,51°12′33″N 3°07′39″W,Nuclear (AGR),1220.0,1976.0,2022,46.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20916666666667,-3.1275,,estimated,0.2,0.2,0.2,2.9,1.559,0.2,0.2,0.2,2.9,1.559,2023.0,0.2,0.2,0.2,2.9,1.559,0.2,0.2,0.2,2.9,1.559,2023.0
Huddersfield[11],Huddersfield,West Yorkshire,North East,53°39′09″N 1°46′26″W,Coal,94.0,1893.0,1981,88.0,Redeveloped,Partial,,,,,,,,53.6525,-1.7738888888888888,28.2,estimated,0.168,0.168,0.168,1.15,,0.168,0.168,0.168,1.15,,1990.0,0.168,0.168,0.168,1.15,,0.168,0.168,0.168,1.15,,1990.0
Huncoat,Accrington,Lancashire,North West,53°46′34″N 2°20′16″W,Coal,150.0,1956.0,1984,28.0,Brownfield,Partial,,,,,,,,53.77611111111111,-2.3377777777777777,45.0,estimated,0.079,0.079,0.079,1.545,,0.202,0.202,0.202,1.545,,1990.0,0.079,0.079,0.079,1.545,,0.202,0.202,0.202,1.545,,1990.0
Ince B,Ellesmere Port,Cheshire,North West,,Oil,1050.0,1984.0,1997,13.0,Redeveloped,Partial,,,,,,,,,,105.0,estimated,,,,,,,,,,,2000.0,,,,,,,,,,,2000.0
Ironbridge A,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,200.0,1932.0,1981,49.0,Passive rewilding,Passive rewilding,,,,,,,,52.63,-2.5119444444444445,60.0,estimated,0.071,0.071,0.071,0.103,,0.071,0.071,0.071,0.493,,1990.0,0.071,0.071,0.071,0.103,,0.071,0.071,0.071,0.493,,1990.0
Ironbridge B,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,1000.0,1969.0,2015,46.0,Remediation then redevelopment,Partial,,,,,,,,52.63,-2.5119444444444445,300.0,estimated,0.056,0.056,0.056,0.103,,0.071,0.071,0.071,0.493,,2015.0,0.056,0.056,0.056,0.103,,0.071,0.071,0.071,0.493,,2015.0
Keadby Coal,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53°35′40″N 0°45′02″W,Coal,360.0,1952.0,1984,32.0,New energy site,Partial,,,,,,,,53.59444444444445,-0.7505555555555555,108.0,estimated,0.079,0.079,0.079,0.316,0.727,0.075,0.075,0.075,0.125,0.727,1990.0,0.079,0.079,0.079,0.316,0.727,0.075,0.075,0.075,0.125,0.727,1990.0
Kingsnorth,Medway,Kent,South East,51°25′08″N 0°36′10″E,Coal,2000.0,1970.0,2012,42.0,Renewable energy site,Full,,,,,,,,51.41888888888889,0.6027777777777777,600.0,estimated,0.15,0.15,0.16,0.91,0.358,0.236,0.236,0.236,0.236,0.416,2015.0,0.15,0.15,0.16,0.91,0.358,0.236,0.236,0.236,0.236,0.416,2015.0
Leicester[21],Leicester,Leicestershire,East Midlands,,OCGT,102.0,1976.0,1990,14.0,Redeveloped,Partial,,,,,,,,,,15.3,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Little Barford A,Little Barford,Bedfordshire,East,52°12′17″N 0°16′02″W,Coal,120.0,1939.0,1981,42.0,New energy site,Partial,,,,,,,,52.20472222222222,-0.2672222222222222,36.0,estimated,0.329,0.329,0.358,0.358,,0.236,0.236,0.358,0.358,,1990.0,0.329,0.329,0.358,0.358,,0.236,0.236,0.358,0.358,,1990.0
Littlebrook C,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Coal,240.0,1956.0,1981,25.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,72.0,estimated,0.23,0.23,0.23,0.34,0.285,0.23,0.23,0.23,0.318,0.285,1990.0,0.23,0.23,0.23,0.34,0.285,0.23,0.23,0.23,0.318,0.285,1990.0
Littlebrook D,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Oil,1370.0,1981.0,2015,34.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,137.0,estimated,0.285,0.285,0.285,0.285,5.736,0.23,0.23,0.23,0.318,0.285,2015.0,0.285,0.285,0.285,0.285,5.736,0.23,0.23,0.23,0.318,0.285,2015.0
Lots Road,Lots Road,Chelsea,Greater London,51°28′40″N 0°10′53″W,Coal,1800.0,1905.0,2002,97.0,Redeveloped,Full,,,,,,,,51.47777777777778,-0.1813888888888888,540.0,estimated,0.025,0.025,0.025,0.15,1.478,0.152,0.152,0.152,0.152,,2000.0,0.025,0.025,0.025,0.15,1.478,0.152,0.152,0.152,0.152,,2000.0
Marchwood A,Marchwood,Hampshire,South East,50°53′54″N 1°26′13″W,oil,480.0,1953.0,1984,31.0,New energy site,Partial,,,,,,,,50.89833333333333,-1.4369444444444444,,estimated,0.158,0.158,0.158,0.158,0.19,0.19,0.19,0.19,0.215,0.19,1990.0,0.158,0.158,0.158,0.158,0.19,0.19,0.19,0.19,0.215,0.19,1990.0
Meaford B,Meaford,Staffordshire,West Midlands,52°55′33″N 2°09′59″W,Coal,240.0,1957.0,1991,34.0,Brownfield,Partial,,,,,,,,52.92583333333333,-2.1663888888888887,72.0,estimated,0.18,0.18,0.285,2.706,,0.18,0.18,0.18,0.902,,1990.0,0.18,0.18,0.285,2.706,,0.18,0.18,0.18,0.902,,1990.0
Mexborough,Mexborough,South Yorkshire,Yorkshire and the Humber,53°29′37″N 1°15′49″W,Coal,120.0,1950.0,1981,31.0,Redeveloped,Partial,,,,,,,,53.493611111111115,-1.263611111111111,36.0,estimated,0.125,0.125,0.125,0.125,,0.135,0.135,0.135,0.15,,1990.0,0.125,0.125,0.125,0.125,,0.135,0.135,0.135,0.15,,1990.0
North Tees C,Billingham,County Durham,North East,54°35′13″N 1°15′47″W,Coal,120.0,1949.0,1983,34.0,Brownfield,Partial,,,,,,,,54.58694444444445,-1.2630555555555556,36.0,estimated,0.261,0.261,0.261,1.295,0.261,0.261,0.261,0.261,1.295,0.261,1990.0,0.261,0.261,0.261,1.295,0.261,0.261,0.261,0.261,1.295,0.261,1990.0
Northfleet[6],Gravesham,Kent,South East,,Coal,720.0,1963.0,1991,28.0,Redeveloped,Partial,,,,,,,,,,216.0,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Norwich[6],Norwich,Norfolk,East,52°37′15″N 1°19′06″E,Oil (gas turbine),110.0,1966.0,1986,20.0,Clean energy site,Partial,,,,,,,,52.62083333333334,1.3183333333333334,,estimated,0.05,0.05,0.05,2.816,,0.05,0.05,0.05,0.292,,1990.0,0.05,0.05,0.05,2.816,,0.05,0.05,0.05,0.292,,1990.0
Nottingham[21],Nottingham,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,148.0,1925.0,1981,56.0,Brownfield,Partial,,,,,,,,52.93194444444444,-1.1669444444444446,44.4,estimated,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,,1990.0,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,,1990.0
Oldbury nuclear power station,Oldbury,South Gloucestershire,South West,51°38′56″N 2°34′15″W,Nuclear (magnox),470.0,1967.0,2012,45.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.64888888888889,-2.5708333333333333,70.5,estimated,0.125,0.125,0.125,0.553,0.226,0.182,0.182,0.182,0.633,0.226,2015.0,0.125,0.125,0.125,0.553,0.226,0.182,0.182,0.182,0.633,0.226,2015.0
Padiham B,Padiham,Lancashire,North West,53°47′44″N 2°19′39″W,Coal,240.0,1957.0,1993,36.0,Remediation then rewilding,Partial,,,,,,,,53.79555555555555,-2.3274999999999997,72.0,estimated,0.125,0.125,0.255,0.255,,0.135,0.135,0.388,0.276,,1990.0,0.125,0.125,0.255,0.255,,0.135,0.135,0.388,0.276,,1990.0
Portishead B,Portishead,Somerset,South West,51°29′28″N 2°45′18″W,Oil,298.0,1955.0,1982,27.0,Redeveloped,Full,,,,,,,,51.49111111111111,-2.755,29.8,estimated,0.075,0.075,0.075,3.034,0.195,0.075,0.075,0.075,0.637,2.677,1990.0,0.075,0.075,0.075,3.034,0.195,0.075,0.075,0.075,0.637,2.677,1990.0
Portrack,Billingham,County Durham,North East,54°34′16″N 1°16′00″W,Waste,20.0,1977.0,1996,19.0,Redeveloped,Partial,,,,,,,,54.571111111111115,-1.2666666666666666,,estimated,0.025,0.025,0.025,0.202,0.7,0.0,0.0,0.0,0.202,0.316,2000.0,0.025,0.025,0.025,0.202,0.7,0.0,0.0,0.0,0.202,0.316,2000.0
Ratcliffe-on-Soar,Ratcliffe-on-Soar,Nottinghamshire,East Midlands,52°51′55″N 1°15′18″W,Coal,2021.0,1968.0,2024,56.0,Brownfield,Full,,,,,,,,52.86527777777778,-1.255,606.3,estimated,0.237,0.237,0.237,0.237,,0.237,0.237,0.237,0.237,,2023.0,0.237,0.237,0.237,0.237,,0.237,0.237,0.237,0.237,,2023.0
Richborough,Richborough,Kent,South East,51°18′36″N 1°20′55″E,Coal+oil,360.0,1962.0,1996,34.0,New energy site,Partial,,,,,,,,51.309999999999995,1.348611111111111,108.0,estimated,0.035,0.035,0.035,0.443,0.765,0.025,0.025,0.025,1.393,0.361,2000.0,0.035,0.035,0.035,0.443,0.765,0.025,0.025,0.025,1.393,0.361,2000.0
Roosecote A,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,Coal,120.0,1954.0,1986,32.0,Clean energy site,Partial,,,,,,,,54.105,-3.187777777777778,36.0,estimated,0.025,0.025,0.025,0.682,0.443,0.127,0.127,0.127,0.682,1.7,1990.0,0.025,0.025,0.025,0.682,0.443,0.127,0.127,0.127,0.682,1.7,1990.0
Roosecote B,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,CCGT,229.0,1991.0,2012,21.0,Clean energy site,Partial,,,,,,,,54.105,-3.187777777777778,17.2,estimated,0.0,0.0,0.0,0.682,2.483,0.127,0.127,0.127,0.682,1.7,2015.0,0.0,0.0,0.0,0.682,2.483,0.127,0.127,0.127,0.682,1.7,2015.0
Rugeley A,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,600.0,1963.0,1995,32.0,Remediation then clean redevelopment,Full,,,,,,,,52.75694444444444,-1.9163888888888887,180.0,estimated,0.09,0.09,0.09,0.09,,0.27,0.581,1.443,0.571,,1990.0,0.09,0.09,0.09,0.09,,0.27,0.581,1.443,0.571,,1990.0
Rugeley B,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,1006.0,1970.0,2016,46.0,Remediation then redevelopment,Full,,,,,,,,52.75694444444444,-1.9163888888888887,301.8,estimated,0.492,0.492,0.492,0.621,,0.27,0.581,1.443,0.571,,2015.0,0.492,0.492,0.492,0.621,,0.27,0.581,1.443,0.571,,2015.0
Rye House A,Hoddesdon,Hertfordshire,East,51°45′45″N 0°00′39″E,Coal,120.0,1953.0,1982,29.0,New energy site,Partial,,,,,,,,51.7625,0.0108333333333333,37.0,OSMnx,0.025,0.025,0.025,0.25,,0.135,0.135,0.135,0.135,,1990.0,0.025,0.025,0.025,0.25,,0.135,0.135,0.135,0.135,,1990.0
Sizewell A,Sizewell,Suffolk,East,52°12′54″N 1°37′11″E,Nuclear (magnox),650.0,1966.0,2006,40.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,52.215,1.6197222222222225,97.5,estimated,0.15,0.15,0.15,6.289,,0.175,0.175,0.175,3.222,6.946,2007.0,0.15,0.15,0.15,6.289,,0.175,0.175,0.175,3.222,6.946,2007.0
Skelton Grange A,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,360.0,1948.0,1983,35.0,Clean energy site,Partial,,,,,,,,,,108.0,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Skelton Grange B,Leeds,West Yorkshire,Yorkshire and the Humber,,Coal,448.0,1960.0,1994,34.0,Clean energy site,Partial,,,,,,,,,,134.4,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Spondon[38][39][11],Spondon,Derbyshire,East Midlands,52°54′23″N 1°24′03″W,Coal,18.0,1920.0,1982,62.0,Partially Demolished,Partial,,,,,,,,52.90638888888888,-1.4008333333333332,5.4,estimated,0.18,0.18,0.28,0.478,,0.18,0.18,0.577,0.18,,1990.0,0.18,0.18,0.28,0.478,,0.18,0.18,0.577,0.18,,1990.0
Staythorpe A,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,112.0,1950.0,1983,33.0,New energy site,Partial,,,,,,,,53.07472222222223,-0.8558333333333333,19.4,OSMnx,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,,1990.0,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,,1990.0
Staythorpe B,Southwell,Nottinghamshire,East Midlands,53°04′29″N 0°51′21″W,Coal,354.0,1962.0,1994,32.0,New energy site,Partial,,,,,,,,53.07472222222223,-0.8558333333333333,106.2,estimated,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,,1990.0,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,,1990.0
Stella North,Lemington,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,240.0,1954.0,1991,37.0,Redeveloped,Partial,,,,,,,,54.97416666666667,-1.7258333333333336,72.0,estimated,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.68,0.0,1990.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.68,0.0,1990.0
Stella South,Blaydon,Tyne and Wear,North East,54°58′27″N 1°43′33″W,Coal,300.0,1954.0,1991,37.0,Redeveloped,Partial,,,,,,,,54.97416666666667,-1.7258333333333336,90.0,estimated,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.68,0.0,1990.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,1.68,0.0,1990.0
Stourport B[21],Stourport,Worcestershire,West Midlands,,Coal,112.0,1950.0,1984,34.0,Redeveloped,Partial,,,,,,,,,,33.6,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Teesside,Wilton,Redcar and Cleveland,North East,54°34′37″N 1°07′14″W,CCGT,1875.0,1993.0,2013,20.0,Brownfield,Partial,,,,,,,,54.57694444444445,-1.1205555555555555,140.6,estimated,0.313,0.313,0.313,1.003,2.991,0.313,0.313,0.313,1.003,2.991,2015.0,0.313,0.313,0.313,1.003,2.991,0.313,0.313,0.313,1.003,2.991,2015.0
Thornhill[11],Dewsbury,West Yorkshire,North East,53°40′38″N 1°39′17″W,Coal,186.0,1902.0,1982,80.0,New energy site,Partial,,,,,,,,53.67722222222222,-1.6547222222222222,55.8,estimated,0.025,0.025,0.025,0.05,,0.05,0.05,0.05,0.05,,1990.0,0.025,0.025,0.025,0.05,,0.05,0.05,0.05,0.05,,1990.0
Thorpe Marsh,Doncaster,South Yorkshire,Yorkshire and the Humber,53°34′50″N 1°05′07″W,Coal,1100.0,1963.0,1994,31.0,Remediation,Partial,,,,,,,,53.58055555555555,-1.0852777777777778,330.0,estimated,0.15,0.15,0.15,0.202,0.236,0.177,0.275,0.348,0.177,,1990.0,0.15,0.15,0.15,0.202,0.236,0.177,0.275,0.348,0.177,,1990.0
Tilbury A,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Oil,360.0,1956.0,1981,25.0,Clean energy site,Partial,,,,,,,,51.455000000000005,0.3916666666666667,36.0,estimated,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326,1990.0,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326,1990.0
Tilbury B,Tilbury,"Thurrock, Essex",East,51°27′18″N 0°23′30″E,Coal+oil+biofuel,1131.0,1967.0,2013,46.0,Clean energy site,Partial,,,,,,,,51.455000000000005,0.3916666666666667,339.3,estimated,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326,2015.0,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326,2015.0
Wakefield B,Wakefield,West Yorkshire,Yorkshire and the Humber,53°40′25″N 1°28′24″W,Coal,224.0,1957.0,1991,34.0,Redeveloped,Partial,,,,,,,,53.67361111111111,-1.4733333333333334,67.2,estimated,0.177,0.18,0.18,0.177,,0.177,0.18,0.18,0.177,,1990.0,0.177,0.18,0.18,0.177,,0.177,0.18,0.18,0.177,,1990.0
Walsall[21] (Birchills),Walsall,Birmingham,West Midlands,,Coal,191.0,1949.0,1982,33.0,Clean energy site,Partial,,,,,,,,,,57.3,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Watford,Watford,Hertfordshire,East,51°38′34″N 0°24′16″W,Coal,27.0,1899.0,1990,91.0,Redeveloped,Partial,,,,,,,,51.64277777777778,-0.4044444444444444,8.1,estimated,0.075,0.075,1.061,1.061,,0.125,0.125,1.061,1.061,,1990.0,0.075,0.075,1.061,1.061,,0.125,0.125,1.061,1.061,,1990.0
West Burton A,Bole,Nottinghamshire,East Midlands,53°21′54″N 0°49′10″W,Coal,1972.0,1967.0,2023,56.0,Brownfield,Partial,,,,,,,,53.365,-0.8194444444444444,591.6,estimated,0.125,0.878,0.878,0.649,,0.125,0.878,0.878,0.649,,2023.0,0.125,0.878,0.878,0.649,,0.125,0.878,0.878,0.649,,2023.0
West Ham,Canning Town,London,Greater London,51°31′05″N 0°00′05″E,Coal,114.0,1904.0,1983,79.0,Redeveloped,Partial,,,,,,,,51.51805555555555,0.0013888888888888,34.2,estimated,0.135,0.135,0.135,0.135,7.415,0.16,0.16,0.506,0.16,2.552,1990.0,0.135,0.135,0.135,0.135,7.415,0.16,0.16,0.506,0.16,2.552,1990.0
West Thurrock,West Thurrock,Essex,East,51°28′10″N 0°17′20″E,Coal,1300.0,1962.0,1993,31.0,Redeveloped,Partial,,,,,,,,51.46944444444445,0.2888888888888888,390.0,estimated,0.106,0.106,0.106,0.246,0.195,0.141,0.141,0.141,0.195,0.141,1990.0,0.106,0.106,0.106,0.246,0.195,0.141,0.141,0.141,0.195,0.141,1990.0
Wilford,Wilford,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,316.0,1925.0,1981,56.0,Redeveloped,Partial,,,,,,,,52.93194444444444,-1.1669444444444446,94.8,estimated,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,,1990.0,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,,1990.0
Willington A,Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400.0,1957.0,1990,33.0,Redeveloped,Partial,,,,,,,,52.85388888888889,-1.565,120.0,estimated,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,,1990.0,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,,1990.0
Willington B[49],Willington,Derbyshire,East Midlands,52°51′14″N 1°33′54″W,Coal,400.0,1960.0,1990,30.0,Redeveloped,Partial,,,,,,,,52.85388888888889,-1.565,120.0,estimated,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,,1990.0,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,,1990.0
Winfrith,Winfrith Newburgh,Dorset,South West,50°40′55″N 2°15′40″W,Nuclear,100.0,1968.0,1990,22.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.68194444444444,-2.261111111111111,,estimated,0.071,0.071,0.071,3.076,6.723,0.071,0.071,0.071,3.076,6.747,1990.0,0.071,0.071,0.071,3.076,6.723,0.071,0.071,0.071,3.076,6.747,1990.0
