ANNEX VI: LPS data for each relevant aggregated Gridding NFR sectors (GNFR),,,,,,,,,,,,,,,,,,,
6590_St Helens,B_Industry,,2,-2.754525323,53.44326301,NA,NA,NA,0.076945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6622_Burton-On-Trent,B_Industry,,1,-1.679113988,52.86434998,0.65301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6666_New Rugby,B_Industry,,3,-1.286037369,52.3762831,1.449,NA,NA,0.015702,NA,NA,2.921,NA,NA,0.086,NA,NA,NA,NA
6700_Shotton,B_Industry,,1,-3.042873264,53.23478479,0.28121001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6982_Grangemouth,B_Industry,,2,-3.692006009,56.00940547,0.3417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7009_Doncaster,B_Industry,,1,-1.136794358,53.50527212,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA
7013_Padeswood,B_Industry,,2,-3.062008871,53.15497955,0.457924,NA,NA,0.011924,NA,NA,NA,NA,NA,0.05985,NA,NA,NA,NA
7015_Whitwell,B_Industry,,2,-1.198654817,53.27073472,1.8933,NA,NA,NA,NA,NA,NA,0.22,NA,0.019,0.162,NA,NA,NA
7017_Darley Dale,B_Industry,,2,-1.611582898,53.15728643,0.218,NA,0.287,NA,NA,NA,NA,0.471,NA,NA,NA,NA,NA,NA
7059_Bridgend,B_Industry,,2,-3.499994651,51.54539317,NA,NA,0.49036414,0.08658077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7060_Wilton,B_Industry,,1,-1.119380476,54.59268182,NA,NA,NA,0.03024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7137_Chirk,B_Industry,,1,-3.063879072,52.94002341,0.9735667,NA,NA,NA,NA,0.05650458441,0.99629183,NA,NA,NA,NA,NA,NA,NA
7456_Brighouse Bay,B_Industry,,1,-4.100469274,54.78811,NA,NA,NA,NA,NA,NA,0.9990081335,NA,NA,NA,NA,NA,NA,NA
7582_Trafford Park,B_Industry,,1,-2.328132905,53.47863326,0.10569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7702_Billingham,B_Industry,,2,-1.270858269,54.59467727,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7758_Wymington,B_Industry,,1,-0.5889767463,52.26122809,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7795_Swansea,B_Industry,,1,-3.91957252,51.65904724,NA,NA,NA,0.01766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7848_Dunbar,B_Industry,,2,-2.47840021,55.97282607,0.685643304,NA,0.2204346894,NA,NA,NA,3.603760246,NA,NA,NA,NA,NA,NA,NA
7849_Wissington,B_Industry,,1,0.4520833123,52.55127496,0.2593,NA,NA,NA,NA,NA,2.192840284,NA,NA,NA,NA,NA,NA,NA
7851_Cantley,B_Industry,,2,1.519986241,52.57603254,NA,NA,0.2322869982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7856_Lostock,B_Industry,,2,-2.453924992,53.26456045,NA,NA,NA,0.392,NA,NA,1.376,NA,NA,NA,NA,NA,NA,NA
7925_Eastham,B_Industry,,1,-2.945221538,53.31174602,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015064498,NA,NA,NA,NA
7960_Wigton,B_Industry,,1,-3.164297314,54.82754331,NA,0.35924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7965_Bury St Edmunds,B_Industry,,2,0.7269314903,52.25371734,0.242957,NA,NA,NA,NA,NA,2.052139362,NA,NA,NA,NA,NA,NA,NA
7967_Newark,B_Industry,,2,-0.8174159666,53.0881349,0.1,NA,NA,NA,NA,NA,1.03410896,NA,NA,NA,NA,NA,NA,NA
8029_Workington Mill,B_Industry,,1,-3.544596821,54.6662852,NA,NA,NA,NA,NA,NA,2.469886596,0.2220112552,0.1068862384,NA,0.8222465506,NA,NA,NA
8172_Ince,B_Industry,,2,-2.815853821,53.28088023,0.2601636427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8260_Greengate,B_Industry,,1,-2.742162441,53.44226184,0.24071104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8364_Chirk,B_Industry,,1,-3.063879072,52.94002341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2660120423,NA,NA,NA
8543_Wheatley,B_Industry,,2,-1.086639016,53.55191041,0.1424479183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8572_Sinfin, Derby",B_Industry,,1,-1.466035187,52.88237152,0.297117746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8578_Wilton,B_Industry,,2,-1.122533213,54.59000858,0.1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8626_Goole,B_Industry,,2,-0.9079206643,53.69845628,0.1144728188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8939_Isle of Grain LNG Installation,B_Industry,,1,0.679316457,51.44805999,0.2262915332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9032_Cowdenbeath,B_Industry,,1,-3.309468438,56.09569452,0.254385948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9047_Flotta Oil Terminal,B_Industry,,2,-3.127800111,58.83752552,0.397525968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9099_Greatham,B_Industry,,2,-1.203584044,54.63172936,NA,NA,NA,NA,NA,NA,10.8318,NA,NA,NA,NA,NA,NA,NA
9146_Portbury,B_Industry,,2,-2.710881574,51.48960975,0.289214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9149_York,B_Industry,,1,-1.078375225,53.97700521,0.115996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9309_Lostock Works,B_Industry,,1,-2.476715343,53.26474113,NA,NA,NA,0.04319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9548_Grimsby,B_Industry,,1,-0.1602583821,53.61469359,NA,NA,NA,NA,NA,NA,8.48264,NA,NA,NA,NA,NA,NA,NA
9606_Felinfach,B_Industry,,1,-4.169025027,52.19667179,NA,NA,NA,NA,NA,NA,NA,NA,0.0104036543,NA,NA,NA,NA,NA
9623_Barnsley,B_Industry,,2,-1.437013437,53.57132988,0.1934567637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9649_Muir of Ord,B_Industry,,1,-4.452930937,57.50535414,0.152466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9949_Tremorfa 2,B_Industry,,1,-3.136104425,51.48010098,NA,NA,NA,NA,NA,NA,1.91938322,1.233,0.059,0.022,0.137,NA,NA,NA
9983_Easington Gas Terminal,B_Industry,,2,0.1136948174,53.66015239,0.162176591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43423_Hemel Hempstead Data Centre,C_OtherStationaryComb,,1,-0.4328663589,51.75779473,0.157151619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8248_Port of Liverpool CHP,C_OtherStationaryComb,,1,-3.006622079,53.4524605,0.1179220194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10529_Harwich,D_Fugitive,,1,1.2460742,51.94349945,NA,0.2730251312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10604_Pembroke Plant,D_Fugitive,,1,-5.02782814,51.68669191,NA,1.641069645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10783_South Killingholme Refinery,D_Fugitive,,1,-0.2440636234,53.63168418,NA,3.105981106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11065_South Hook LNG Terminal,D_Fugitive,,1,-4.988962535,51.71106353,NA,0.2632736627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11077_Dragon LNG Terminal,D_Fugitive,,1,-4.985497107,51.71340021,NA,0.1276512108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11554_Fawley Refinery,D_Fugitive,,1,-1.355224602,50.83644866,NA,2.242781472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12903_Andrew,D_Fugitive,,2,1.406234115,58.0479182,NA,0.191122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12909_Auk,D_Fugitive,,2,2.028010521,56.41226994,NA,0.432295167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12917_Triton FPSO,D_Fugitive,,1,0.800410427,57.18722377,NA,0.477603687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12932_Buzzard,D_Fugitive,,2,-0.978270365,57.8045515,NA,0.243162718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12939_Clair,D_Fugitive,,2,-2.553458506,60.68435896,NA,0.134284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12940_Claymore,D_Fugitive,,2,-0.2717132695,58.4379393,NA,0.124566782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12942_Clyde,D_Fugitive,,2,2.293606324,56.46137568,NA,0.275264344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12945_Cormorant North,D_Fugitive,,2,1.164116565,61.21500534,NA,0.168471438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12957_Elgin PUQ,D_Fugitive,,2,1.839940824,57.01215076,NA,0.792465242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12960_Marnock ETAP,D_Fugitive,,2,1.698854367,57.29266159,NA,0.135622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12968_Forties Charlie,D_Fugitive,,2,0.9746814667,57.73058851,NA,0.147952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12969_Forties Delta,D_Fugitive,,2,0.9746814667,57.73058851,NA,0.147521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12975_Gannet,D_Fugitive,,2,1.004888848,57.177037,NA,0.354820591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12978_Gryphon,D_Fugitive,,2,1.539933699,59.35539565,NA,0.858737153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12980_Pierce FPSO,D_Fugitive,,1,2.261298795,57.14615718,NA,0.605515195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12993_Judy,D_Fugitive,,2,2.351898155,56.69520248,NA,0.136284123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13006_Mallard,D_Fugitive,,2,0.7762481096,57.41831775,NA,0.223526672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13013_Montrose,D_Fugitive,,2,1.40662321,57.4561539,NA,0.103841249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13017_Nelson,D_Fugitive,,2,1.130253479,57.66531367,NA,0.495124588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13026_Pelican,D_Fugitive,,2,1.125343524,61.03329351,NA,0.325011371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029_Piper Bravo,D_Fugitive,,2,0.2707238032,58.45889275,NA,0.183171426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13037_Scott,D_Fugitive,,2,0.2299839099,58.26444105,NA,0.23285577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13039_Shearwater,D_Fugitive,,2,1.937028625,57.02859846,NA,0.347448948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13043_Tern,D_Fugitive,,2,0.9048131153,61.27884669,NA,0.108326782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13064_Bacton,D_Fugitive,,1,1.460663777,52.85677563,NA,0.20467004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13293_Stanlow Manufacturing Complex,D_Fugitive,,1,-2.838280097,53.26957826,NA,4.034959327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14590_Lindsey Oil Refinery,D_Fugitive,,1,-0.2570352328,53.63987437,NA,2.440047646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14712_Douglas,D_Fugitive,,3,-3.565572049,53.52911703,NA,0.257948074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14905_Mariner PDQ,D_Fugitive,,2,1.114909591,59.58955488,NA,0.110773368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14928_Forties Pipeline System - Kinneil,D_Fugitive,,1,-3.671933588,56.00591412,NA,2.656543907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14987_Armada Kraken FPSO,D_Fugitive,,1,1.295129098,59.92419946,NA,2.09137309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14988_BW Catcher,D_Fugitive,,1,0.7144158064,56.76883838,NA,3.072886093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081_Grangemouth,D_Fugitive,,1,-3.695890109,56.00689889,NA,0.9526560292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40296_Sullom Voe Terminal,D_Fugitive,,1,-1.273103111,60.45792758,NA,1.502592464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40556_Aoka Mizu,D_Fugitive,,1,-0.6263111009,57.90053636,NA,0.840157397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40618_Teesside Crude Oil Stabilisation Terminal Seal Sands Cleveland,D_Fugitive,,1,-1.170709876,54.61582643,NA,0.93700516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40687_Global Producer III,D_Fugitive,,1,0.8380030885,58.37300383,NA,1.11212952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40689_Brae Alpha,D_Fugitive,,2,1.350920999,58.79293963,NA,0.199047038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40691_East Brae,D_Fugitive,,2,1.524626779,58.88138309,NA,0.108591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40739_Western Isles FPSO,D_Fugitive,,1,1.716544734,60.27061331,NA,0.165217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40742_Beryl B Platform,D_Fugitive,,2,1.531715222,59.54972375,NA,0.203472596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40892_COOK,D_Fugitive,,2,0.8149355789,57.37137257,NA,1.035759945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41400_Douglas OSI,D_Fugitive,,2,-3.579993302,53.54000216,NA,0.504977851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43215_Beryl SPM2 Loading Terminal,D_Fugitive,,1,1.531715222,59.54972375,NA,2.814919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6649_Milford Haven,D_Fugitive,,1,-4.988101253,51.7111754,NA,0.118337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8939_Isle of Grain LNG Installation,D_Fugitive,,1,0.679316457,51.44805999,NA,0.1762174426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9047_Flotta Oil Terminal,D_Fugitive,,1,-3.127800111,58.83752552,NA,0.320780628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11034_Bangor,E_Solvents,,1,-5.665539266,54.64442576,NA,0.197842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13851_Caerphilly,E_Solvents,,1,-3.225657112,51.58941236,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2623_Erith,E_Solvents,,1,0.1693785459,51.4925659,NA,0.2873870817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2624_Hull,E_Solvents,,1,-0.3298841607,53.76313058,NA,0.1709720919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2625_Bootle (Regent Road),E_Solvents,,1,-3.018164379,53.45087051,NA,0.1687023245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2626_Bootle (North Gladstone Dock),E_Solvents,,1,-3.012850622,53.45474495,NA,0.3362068735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2628_Wigton,E_Solvents,,1,-3.164297314,54.82754331,NA,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2658_Basildon,E_Solvents,,1,0.5201634255,51.58470203,NA,0.246755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2847_Midsomer Norton,E_Solvents,,1,-2.479267044,51.29172713,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2854_Bridgnorth,E_Solvents,,1,-2.402353967,52.52698703,NA,0.1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2946_Worcester,E_Solvents,,1,-2.199747206,52.21644403,NA,0.103257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2961_Stevenston,E_Solvents,,1,-4.738299361,55.62835468,NA,0.109248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2974_Earby,E_Solvents,,1,-2.142974739,53.91800504,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2986_Gillingham,E_Solvents,,1,0.5792335901,51.36465036,NA,0.231798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3062_Cramlington,E_Solvents,,1,-1.598569248,55.09659075,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3274_Botcherby,E_Solvents,,1,-2.90569639,54.88816243,NA,0.3569326712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3275_Leicester,E_Solvents,,1,-1.195826593,52.63066462,NA,0.3917952157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3301_Wrexham,E_Solvents,,1,-2.927594258,53.03825229,NA,0.3614310865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3343_Halewood,E_Solvents,,1,-2.826170035,53.34912522,NA,0.1677859144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3372_Swindon,E_Solvents,,1,-1.740871745,51.59388328,NA,0.2694404697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3411_Leyland,E_Solvents,,1,-2.698169603,53.69690158,NA,0.2439986957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3445_Sunderland,E_Solvents,,1,-1.467965414,54.92003157,NA,0.7674468158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3469_Milton Keynes,E_Solvents,,1,-0.7078916286,52.0528918,NA,0.3104977084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470_Wakefield,E_Solvents,,1,-1.520886403,53.71654114,NA,0.1734292466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3478_Cowley,E_Solvents,,1,-1.191622942,51.73625679,NA,0.2740900527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3480_Solihull,E_Solvents,,1,-1.771271528,52.43537597,NA,0.497400847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3558_Burnaston,E_Solvents,,1,-1.573936749,52.87308079,NA,0.2740172331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4907_Warmley,E_Solvents,,1,-2.475364608,51.45516769,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6996_Luton,E_Solvents,,1,-0.396600613,51.87384839,NA,0.425537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7828_Castleford,E_Solvents,,1,-1.389877791,53.71122714,NA,0.242948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9682_Dundee,E_Solvents,,1,-2.955034919,56.46843356,NA,0.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9860_Killyhevlin Industrial Esate,E_Solvents,,1,-7.61949145,54.33155621,NA,0.171967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040_Fawley High Temperature Incinerator,J_Waste,,2,-1.387645792,50.84946463,0.170296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13408_Cumbernauld,J_Waste,,1,-3.95529206,55.96938455,0.1401218925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41326_Cheddleton Site,J_Waste,,1,-2.041730725,53.05238055,0.283974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43140_Hooton Park Sustainable Energy Facility,J_Waste,,2,-2.945221538,53.31174602,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA
43224_Milton Keynes Waste Recovery Park,J_Waste,,1,-0.8182083024,52.06772497,0.1249097072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43311_London Sustainable Industries Park,J_Waste,,1,0.137292502,51.52112294,0.110675441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9454_Porton Down,J_Waste,,2,-1.708849125,51.1296656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,NA,NA,NA
"9884_Lower Chapel Bridge Yard, Newport",J_Waste,,1,-3.133749902,51.63524084,0.1811005248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA