Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,total_co2_kgCO2e_per_year,Solar_commission_kgCO2e,Wind_commission_kgCO2e,Hydro_commission_kgCO2e,Nuclear_commission_kgCO2e,Biomass_commission_kgCO2e,Solar_co2_saving_kgCO2e_per_year,Wind_co2_saving_kgCO2e_per_year,Hydro_co2_saving_kgCO2e_per_year,Nuclear_co2_saving_kgCO2e_per_year,Biomass_co2_saving_kgCO2e_per_year,NOX_kg,SOX_kg,CH4_kg,Solar_NOX_saving_kg,Solar_SOX_saving_kg,Solar_CH4_saving_kg,Wind_NOX_saving_kg,Wind_SOX_saving_kg,Wind_CH4_saving_kg,Hydro_NOX_saving_kg,Hydro_SOX_saving_kg,Hydro_CH4_saving_kg,Nuclear_NOX_saving_kg,Nuclear_SOX_saving_kg,Nuclear_CH4_saving_kg,Biomass_NOX_saving_kg,Biomass_SOX_saving_kg,Biomass_CH4_saving_kg,water_consumption_litres_per_year,Solar_water_saving_litres_per_year,Wind_water_saving_litres_per_year,Hydro_water_saving_litres_per_year,Nuclear_water_saving_litres_per_year,Biomass_water_saving_litres_per_year,site_ha,site_ha_source,Solar_net_land_ha,Wind_net_land_ha,Hydro_net_land_ha,Nuclear_net_land_ha,Biomass_net_land_ha
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,850.0,LV,England,0,,,333250.0,185006.0,2010,1017579580.4909576,80044500.0,38719200.0,78183000.0,85182240.0,282650160.0,937535080.4909576,978860380.4909576,939396580.4909576,932397340.4909576,734929420.4909576,,,,,,,,,,,,,,,,,,,885329400.0,885329400.0,885329400.0,881010720.0,-2016823560.0,-1502900640.0,1.2,OSM,-1698.8,-228.3,-7.3,-287.8,-848.8
Co-owned by SSE Group and Cheung Kong Infrastructure Ltd,Seabank Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,1234.0,HV,England,South West,,,343425.0,161749.0,2000,1477286120.3833437,116205780.0,56211168.0,113503320.0,123664569.6,410341526.4,1361080340.3833437,1421074952.3833437,1363782800.3833437,1353621550.7833436,1066944593.9833436,,,,,,,,,,,,,,,,,,,1285289975.9999998,1285289975.9999998,1285289975.9999998,1279020268.7999997,-2927953262.3999996,-2181858105.5999994,11.9,OSM,-2456.1,-321.3,-0.4,-407.7,-1222.1
Co-owned by SSE Group and Wheelabrator Technologies Inc,FM1,Bioenergy,Bioenergy,No,MSW,,79.0,LV,England,Yorkshire and the Humber,,,447490.0,424684.0,2015,16870051.684635647,7439430.0,3598608.0,7266420.0,7916937.6,26269838.4,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,,,,,,,,,,,,,,,,,,,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,23.9,OSM,-134.1,2.6,23.1,-3.0,-55.1
Co-owned by SSE Group and Wheelabrator Technologies Inc,FM2,Bioenergy,Bioenergy,No,MSW,,79.0,LV,England,Yorkshire and the Humber,,,447490.0,424684.0,2019,16870051.684635647,7439430.0,3598608.0,7266420.0,7916937.6,26269838.4,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,,,,,,,,,,,,,,,,,,,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,23.9,OSM,-134.1,2.6,23.1,-3.0,-55.1
Energy Capital Partners,Saltend Power Station,Fossil Fuel,CCGT,Yes,Natural Gas,,1200.0,HV,England,Yorkshire and the Humber,HU128GA,,509793.0,428825.0,2000,1436582937.163705,113004000.0,54662400.0,110376000.0,120257280.0,399035520.0,1323578937.163705,1381920537.163705,1326206937.163705,1316325657.163705,1037547417.1637052,,,,,,,,,,,,,,,,,,,1249876800.0,1249876800.0,1249876800.0,1243779840.0,-2847280320.0,-2121742080.0,3.3,OSM,-2396.7,-320.7,-8.7,-404.7,-1196.7
Energy Capital Partners,Indian Queens Power Ltd,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140.0,HV,England,South West,,SW940591,191739.0,58385.0,1996,71648272.58855422,13183800.0,6377280.0,12877200.0,14030016.0,46554144.0,58464472.58855422,65270992.58855422,58771072.58855422,57618256.58855422,25094128.58855422,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-220752.0,-148345344.0,-122075856.0,21.6,OSM,-258.4,-16.2,20.2,-26.0,-118.4
EPUKi,EP SHB LTD,Fossil Fuel,CCGT,No,Natural Gas,,1365.0,HV,England,Yorkshire and the Humber,DN418BZ,,520457.0,409164.0,1997,1634113091.0237143,128542050.0,62178480.0,125552700.0,136792656.0,453902904.0,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143,,,,,,,,,,,,,,,,,,,1421734859.9999998,1421734859.9999998,1421734859.9999998,1414799567.9999998,-3238781363.999999,-2413481616.0,136.5,estimated,-2593.5,-232.1,122.8,-327.6,-1228.5
EPUKi,EP Ballylumford CCGT,Fossil Fuel,CCGT,No,Natural Gas,,616.0,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,2003,737445907.7440354,58008720.0,28060032.0,56659680.0,61732070.4,204838233.6,679437187.7440354,709385875.7440354,680786227.7440354,675713837.3440354,532607674.14403534,646000.0,,,646000.0,,,646000.0,,,646000.0,,,646000.0,,,-918886.4,,,641603424.0,641603424.0,641603424.0,638473651.2,-1461603897.6,-1089160934.4,34.7,OSM,-1197.3,-131.6,28.5,-174.7,-581.3
EPUKi,EP Langage Ltd,Fossil Fuel,CCGT,No,Natural Gas,,905.0,HV,England,South West,PL75AW,,257085.0,56194.0,2010,1083422965.110961,85223850.0,41224560.0,83241900.0,90694032.0,300939288.0,998199115.110961,1042198405.110961,1000181065.110961,992728933.110961,782483677.110961,,,,,,,,,,,,,,,,,,,942615420.0,942615420.0,942615420.0,938017296.0,-2147323908.0,-1600147152.0,22.8,OSM,-1787.2,-221.6,13.8,-284.9,-882.2
EPUKi,EP Ballylumford,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,116.0,HV,Northern Ireland,Northern Ireland,BT403RS,,156969.0,556595.0,1974,59365711.57337349,10923720.0,5284032.0,10669680.0,11624870.4,38573433.6,48441991.57337349,54081679.57337349,48696031.57337349,47740841.17337349,20792277.973373488,646000.0,,,646000.0,,,646000.0,,,646000.0,,,646000.0,,,554545.6,,,0.0,0.0,0.0,-182908.8,-122914713.6,-101148566.4,34.7,OSM,-197.3,3.4,33.5,-4.7,-81.3
ESB,Corby Power Station,Fossil Fuel,CCGT,No,Natural Gas,,407.0,HV,England,East Midlands,,,488447.0,266932.0,1994,487241046.1880232,38327190.0,18539664.0,37435860.0,40787260.8,135339547.2,448913856.1880232,468701382.1880232,449805186.1880232,446453785.3880232,351901498.9880232,,,,,,,,,,,,,,,,,,,423916548.0,423916548.0,423916548.0,421848662.4,-965702575.1999998,-719624188.8,44.0,OSM,-770.0,-65.9,39.9,-94.4,-363.0
ESB,CoolkeeraghESB C30,Fossil Fuel,CCGT,No,Natural Gas,,413.0,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,2004,494423960.8738419,38892210.0,18812976.0,37987740.0,41388547.2,137334724.8,455531750.8738419,475610984.8738419,456436220.8738419,453035413.6738419,357089236.07384187,811000.0,,,811000.0,,,811000.0,,,811000.0,,,811000.0,,,-238185.19999999995,,,430165932.0,430165932.0,430165932.0,428067561.6,-979938976.8,-730232899.2,25.3,OSM,-800.7,-86.2,21.2,-115.1,-387.7
ESB,Carrington Power,Fossil Fuel,CCGT,No,Natural Gas,,910.0,HV,England,North West,M314AY,,373287.0,393037.0,2016,1089408727.349143,85694700.0,41452320.0,83701800.0,91195104.0,302601936.0,1003714027.349143,1047956407.349143,1005706927.349143,998213623.349143,786806791.349143,553000.0,,,553000.0,,,553000.0,,,553000.0,,,553000.0,,,-1758764.0,,,947823240.0,947823240.0,947823240.0,943199712.0,-2159187576.0,-1608987744.0,29.8,OSM,-1790.2,-215.9,20.7,-279.6,-880.2
ESB,CoolkeeraghESB GT8,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,53.0,HV,Northern Ireland,Northern Ireland,BT476UL,,64846.0,584768.0,1970,27123988.908524096,4991010.0,2414256.0,4874940.0,5311363.2,17624068.8,22132978.908524096,24709732.908524096,22249048.908524096,21812625.708524097,9499920.108524095,811000.0,,,811000.0,,,811000.0,,,811000.0,,,811000.0,,,769214.8,,,0.0,0.0,0.0,-83570.4,-56159308.8,-46214431.2,25.3,OSM,-80.7,11.0,24.8,7.3,-27.7
Intergen,Rocksavage Power Company Ltd ,Fossil Fuel,CCGT,No,Natural Gas,,810.0,HV,England,North West,,,352414.0,377661.0,1998,969693482.5855008,76277700.0,36897120.0,74503800.0,81173664.0,269348976.0,893415782.5855008,932796362.5855008,895189682.5855008,888519818.5855008,700344506.5855008,125000.0,,,125000.0,,,125000.0,,,125000.0,,,125000.0,,,-1932724.0,,,843666839.9999999,843666839.9999999,843666839.9999999,839551391.9999999,-1921914215.9999995,-1432175903.9999995,5.0,OSM,-1615.0,-213.7,-3.1,-270.4,-805.0
Intergen,Coryton Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,800.0,HV,England,South East,,,565166.0,178798.0,2002,957721958.1091368,75336000.0,36441600.0,73584000.0,80171520.0,266023680.0,882385958.1091367,921280358.1091368,884137958.1091367,877550438.1091367,691698278.1091367,,,,,,,,,,,,,,,,,,,833251199.9999999,833251199.9999999,833251199.9999999,829186559.9999999,-1898186879.9999995,-1414494719.9999995,6.6,OSM,-1593.4,-209.4,-1.4,-265.4,-793.4
Intergen,Spalding Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,950.0,HV,England,East Midlands,,,524944.0,320245.0,2004,1137294825.2546,89461500.0,43274400.0,87381000.0,95203680.0,315903120.0,1047833325.2546,1094020425.2546,1049913825.2546,1042091145.2546,821391705.2546,,,,,,,,,,,,,,,,,,,989485800.0,989485800.0,989485800.0,984659040.0,-2254096920.0,-1679712480.0,0.1,OSM,-1899.9,-256.4,-9.4,-322.9,-949.9
Intergen,Spalding Expansion OCGT ,Fossil Fuel,CCGT,,Natural Gas,,300.0,,England,East Midlands,PE11 3BB,,,,2019,359145734.2909263,28251000.0,13665600.0,27594000.0,30064320.0,99758880.0,330894734.2909263,345480134.2909263,331551734.2909263,329081414.2909263,259386854.29092628,,,,,,,,,,,,,,,,,,,312469200.0,312469200.0,312469200.0,310944960.0,-711820080.0,-530435520.0,30.0,estimated,-570.0,-51.0,27.0,-72.0,-270.0
LondonEnergy,Londonwaste Ltd,Bioenergy,Bioenergy,No,MSW,,58.0,LV,England,London,N183AG,,535050.0,192550.0,1970,12385607.565935032,5461860.0,2642016.0,5334840.0,5812435.2,19286716.8,6923747.565935032,9743591.565935032,7050767.565935032,6573172.365935032,-6901109.234064968,,,,,,,,,,,,,,,,,,,224774592.0,224774592.0,224774592.0,224368128.0,-48369216.0,0.0,35.7,OSM,-80.3,20.0,35.1,16.0,-22.3
Marchwood Power,Marchwood Power,Fossil Fuel,CCGT,No,Natural Gas,,898.0,HV,England,South East,SO404BD,,438274.0,108147.0,2009,1075042897.977506,84564660.0,40905696.0,82598040.0,89992531.2,298611580.8,990478237.977506,1034137201.977506,992444857.977506,985050366.777506,776431317.177506,252000.0,,,252000.0,,,252000.0,,,252000.0,,,252000.0,,,-2029279.1999999995,,,935324472.0,935324472.0,935324472.0,930761913.6,-2130714772.7999997,-1587770323.1999998,11.1,OSM,-1784.9,-231.4,2.1,-294.2,-886.9
Part of PX Group,Fellside CHP,Fossil Fuel,CCGT,Yes,Natural Gas,,105.0,HV,England,North West,CA201PG,,303202.0,503793.0,1995,125701007.0018242,9887850.0,4782960.0,9657900.0,10522512.0,34915608.0,115813157.0018242,120918047.0018242,116043107.0018242,115178495.0018242,90785399.0018242,,,,,,,,,,,,,,,,,,,109364220.0,109364220.0,109364220.0,108830736.0,-249137028.0,-185652432.0,10.5,estimated,-199.5,-17.9,9.4,-25.2,-94.5
River Nene,Peterborough Power Station,Fossil Fuel,Single cycle,No,Natural Gas,,245.0,HV,England,East of England,PE15NT,,518401.0,299217.0,1993,293302349.6709231,23071650.0,11160240.0,22535100.0,24552528.0,81469752.0,270230699.6709231,282142109.6709231,270767249.6709231,268749821.6709231,211832597.6709231,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-1244796.0,-836502912.0,-688372188.0,1.4,OSM,-488.6,-64.8,-1.1,-81.9,-243.6
River Nene,Croydon,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,London,CR03RL,,,,2005,59857622.38182104,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,5.0,estimated,-95.0,-8.5,4.5,-12.0,-45.0
River Nene,Derby,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,East Midlands,DE248YF,,,,1997,59857622.38182104,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,5.0,estimated,-95.0,-8.5,4.5,-12.0,-45.0
River Nene,Exeter,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,South West,EX28QN,,,,2000,59857622.38182104,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,5.0,estimated,-95.0,-8.5,4.5,-12.0,-45.0
River Nene,Heartlands,Fossil Fuel,Single cycle,,Natural Gas,,100.0,,England,West Midlands,B249FQ,,,,1998,119715244.76364207,9417000.0,4555200.0,9198000.0,10021440.0,33252960.0,110298244.76364207,115160044.76364207,110517244.76364207,109693804.76364207,86462284.76364209,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-508079.99999999994,-341429759.99999994,-280968239.99999994,10.0,estimated,-190.0,-17.0,9.0,-24.0,-90.0
River Nene,Peterborough Power Station PPL2 Gas Engines,Fossil Fuel,Single cycle,,Natural Gas,,49.0,,England,East Midlands,PE15NT,,,,2018,58660469.934184626,4614330.0,2232048.0,4507020.0,4910505.6,16293950.4,54046139.934184626,56428421.934184626,54153449.934184626,53749964.334184624,42366519.53418463,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-248959.2,-167300582.39999998,-137674437.6,4.9,estimated,-93.1,-8.3,4.4,-11.8,-44.1
River Nene,Thornhill,Fossil Fuel,Single cycle,,Natural Gas,,40.0,,England,Yorkshire and the Humber,WF129EA,,,,1997,47886097.90545684,3766800.0,1822080.0,3679200.0,4008576.0,13301184.0,44119297.90545684,46064017.90545684,44206897.90545684,43877521.90545684,34584913.90545684,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-203232.0,-136571904.0,-112387296.0,4.0,estimated,-76.0,-6.8,3.6,-9.6,-36.0
River Nene,Viking,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,North East,TS21UB,,,,2000,59857622.38182104,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,5.0,estimated,-95.0,-8.5,4.5,-12.0,-45.0
Riverside Resource Recovery,Riverside - Energy from Waste,Bioenergy,Bioenergy,No,MSW,,80.0,HV,England,London,DA176JY,,547200.0,176500.0,2011,17083596.642669007,7533600.0,3644160.0,7358400.0,8017152.0,26602368.0,9549996.642669007,13439436.642669007,9725196.642669007,9066444.642669007,-9518771.357330993,,,,,,,,,,,,,,,,,,,310033920.0,310033920.0,310033920.0,309473280.0,-66716160.0,0.0,24.0,estimated,-136.0,2.4,23.2,-3.2,-56.0
RWE Npower,Little Barford,Fossil Fuel,CCGT,No,Natural Gas,,723.0,HV,England,East of England,PE196YT,,519049.0,256838.0,1995,865541219.6411325,68084910.0,32934096.0,66501540.0,72455011.2,240418900.8,797456309.6411325,832607123.6411325,799039679.6411325,793086208.4411324,625122318.8411324,,,,,,,,,,,,,,,,,,,753050772.0,753050772.0,753050772.0,749377353.6,-1715486392.7999997,-1278349603.2,6.6,OSM,-1439.4,-188.6,-0.6,-239.2,-716.4
RWE Npower,Kings Lynn,Fossil Fuel,CCGT,No,Natural Gas,,395.0,LV,England,East of England,PE343RD,,,,1997,472875216.8163863,37197150.0,17993040.0,36332100.0,39584688.0,131349192.0,435678066.8163863,454882176.8163863,436543116.8163863,433290528.8163863,341526024.8163863,,,,,,,,,,,,,,,,,,,411417779.99999994,411417779.99999994,411417779.99999994,409410863.99999994,-937229771.9999998,-698406767.9999998,39.5,estimated,-750.5,-67.2,35.5,-94.8,-355.5
RWE Npower,Didcot B,Fossil Fuel,CCGT,No,Natural Gas,,1450.0,HV,England,South East,OX117YU,,451077.0,182210.0,1998,1735871049.0728102,136546500.0,66050400.0,133371000.0,145310880.0,482167920.0,1599324549.0728102,1669820649.0728102,1602500049.0728102,1590560169.0728102,1253703129.0728102,,,,,,,,,,,,,,,,,,,1510267799.9999998,1510267799.9999998,1510267799.9999998,1502900639.9999998,-3440463719.999999,-2563771680.0,145.0,estimated,-2755.0,-246.5,130.5,-348.0,-1305.0
RWE Npower,Cheshire,Fossil Fuel,Single cycle,No,Natural Gas,,60.0,LV,England,North West,CH651AF,,,,2000,71829146.85818526,5650200.0,2733120.0,5518800.0,6012864.0,19951776.0,66178946.85818526,69096026.85818526,66310346.85818526,65816282.85818526,51877370.85818526,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-304848.0,-204857856.0,-168580944.0,6.0,estimated,-114.0,-10.2,5.4,-14.4,-54.0
RWE Npower,Great Yarmouth,Fossil Fuel,CCGT,No,Natural Gas,,420.0,LV,England,East of England,NR303PY,,652534.0,307744.0,2001,502804028.0072968,39551400.0,19131840.0,38631600.0,42090048.0,139662432.0,463252628.0072968,483672188.0072968,464172428.0072968,460713980.0072968,363141596.0072968,,,,,,,,,,,,,,,,,,,437456880.0,437456880.0,437456880.0,435322944.0,-996548112.0,-742609728.0,7.6,OSM,-832.4,-105.8,3.4,-135.2,-412.4
RWE Npower,Hythe,Fossil Fuel,Single cycle,No,Natural Gas,,44.0,LV,England,South East,SO453BP,,,,2005,52674707.69600252,4143480.0,2004288.0,4047120.0,4409433.6,14631302.4,48531227.69600252,50670419.69600252,48627587.69600252,48265274.09600252,38043405.29600252,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-223555.2,-150229094.39999998,-123626025.6,4.4,estimated,-83.6,-7.5,4.0,-10.6,-39.6
