Site Name,Primary Fuel,Capacity MW,CO2_Total CO2 per year,CO2_Solar saving,CO2_Wind saving,CO2_Hydro saving,CO2_Nuclear saving,CO2_Biomass saving,Water_Consumption litres/yr,Water_Solar saving,Water_Wind saving,Water_Hydro saving,Water_Nuclear saving,Water_Biomass saving,Emissions_NOX kg,Emissions_SOX kg,Emissions_CH4 kg,Emissions_Solar NOX saving,Emissions_Wind NOX saving,Emissions_Hydro NOX saving,Emissions_Nuclear NOX saving,Emissions_Biomass NOX saving,Emissions_Solar SOX saving,Emissions_Wind SOX saving,Emissions_Hydro SOX saving,Emissions_Nuclear SOX saving,Emissions_Biomass SOX saving,Emissions_Solar CH4 saving,Emissions_Wind CH4 saving,Emissions_Hydro CH4 saving,Emissions_Nuclear CH4 saving,Emissions_Biomass CH4 saving,Land_Site ha,Land_Solar net land,Land_Wind net land,Land_Hydro net land,Land_Nuclear net land,Land_Biomass net land
Severn Power Ltd,Natural Gas,850.0,1017579580.4909576,937535080.4909576,978860380.4909576,939396580.4909576,932397340.4909576,734929420.4909576,885329400.0,885329400.0,885329400.0,881010720.0,-2016823560.0,-1502900640.0,,,,,,,,,,,,,,,,,,,1.2,-1698.8,-228.3,-7.3,-287.8,-848.8
Seabank Power Ltd,Natural Gas,1234.0,1477286120.3833437,1361080340.3833437,1421074952.3833437,1363782800.3833437,1353621550.7833436,1066944593.9833436,1285289975.9999998,1285289975.9999998,1285289975.9999998,1279020268.7999997,-2927953262.3999996,-2181858105.5999994,,,,,,,,,,,,,,,,,,,11.9,-2456.1,-321.3,-0.4,-407.7,-1222.1
FM1,MSW,79.0,16870051.684635647,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,,,,,,,,,,,,,,,,,,,23.9,-134.1,2.6,23.1,-3.0,-55.1
FM2,MSW,79.0,16870051.684635647,9430621.684635649,13271443.684635649,9603631.684635649,8953114.084635647,-9399786.715364352,306158496.0,306158496.0,306158496.0,305604864.0,-65882208.0,0.0,,,,,,,,,,,,,,,,,,,23.9,-134.1,2.6,23.1,-3.0,-55.1
Saltend Power Station,Natural Gas,1200.0,1436582937.163705,1323578937.163705,1381920537.163705,1326206937.163705,1316325657.163705,1037547417.1637052,1249876800.0,1249876800.0,1249876800.0,1243779840.0,-2847280320.0,-2121742080.0,,,,,,,,,,,,,,,,,,,3.3,-2396.7,-320.7,-8.7,-404.7,-1196.7
Indian Queens Power Ltd,Diesel/Gas Oil,140.0,71648272.58855422,58464472.58855422,65270992.58855422,58771072.58855422,57618256.58855422,25094128.58855422,0.0,0.0,0.0,-220752.0,-148345344.0,-122075856.0,,,,,,,,,,,,,,,,,,,21.6,-258.4,-16.2,20.2,-26.0,-118.4
EP SHB LTD,Natural Gas,1365.0,1634113091.0237143,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143,1421734859.9999998,1421734859.9999998,1421734859.9999998,1414799567.9999998,-3238781363.999999,-2413481616.0,,,,,,,,,,,,,,,,,,,136.5,-2593.5,-232.1,122.8,-327.6,-1228.5
EP Ballylumford CCGT,Natural Gas,616.0,737445907.7440354,679437187.7440354,709385875.7440354,680786227.7440354,675713837.3440354,532607674.14403534,641603424.0,641603424.0,641603424.0,638473651.2,-1461603897.6,-1089160934.4,646000.0,,,646000.0,646000.0,646000.0,646000.0,-918886.4,,,,,,,,,,,34.7,-1197.3,-131.6,28.5,-174.7,-581.3
EP Langage Ltd,Natural Gas,905.0,1083422965.110961,998199115.110961,1042198405.110961,1000181065.110961,992728933.110961,782483677.110961,942615420.0,942615420.0,942615420.0,938017296.0,-2147323908.0,-1600147152.0,,,,,,,,,,,,,,,,,,,22.8,-1787.2,-221.6,13.8,-284.9,-882.2
EP Ballylumford,Diesel/Gas Oil,116.0,59365711.57337349,48441991.57337349,54081679.57337349,48696031.57337349,47740841.17337349,20792277.973373488,0.0,0.0,0.0,-182908.8,-122914713.6,-101148566.4,646000.0,,,646000.0,646000.0,646000.0,646000.0,554545.6,,,,,,,,,,,34.7,-197.3,3.4,33.5,-4.7,-81.3
Corby Power Station,Natural Gas,407.0,487241046.1880232,448913856.1880232,468701382.1880232,449805186.1880232,446453785.3880232,351901498.9880232,423916548.0,423916548.0,423916548.0,421848662.4,-965702575.1999998,-719624188.8,,,,,,,,,,,,,,,,,,,44.0,-770.0,-65.9,39.9,-94.4,-363.0
CoolkeeraghESB C30,Natural Gas,413.0,494423960.8738419,455531750.8738419,475610984.8738419,456436220.8738419,453035413.6738419,357089236.07384187,430165932.0,430165932.0,430165932.0,428067561.6,-979938976.8,-730232899.2,811000.0,,,811000.0,811000.0,811000.0,811000.0,-238185.19999999995,,,,,,,,,,,25.3,-800.7,-86.2,21.2,-115.1,-387.7
Carrington Power,Natural Gas,910.0,1089408727.349143,1003714027.349143,1047956407.349143,1005706927.349143,998213623.349143,786806791.349143,947823240.0,947823240.0,947823240.0,943199712.0,-2159187576.0,-1608987744.0,553000.0,,,553000.0,553000.0,553000.0,553000.0,-1758764.0,,,,,,,,,,,29.8,-1790.2,-215.9,20.7,-279.6,-880.2
CoolkeeraghESB GT8,Diesel/Gas Oil,53.0,27123988.908524096,22132978.908524096,24709732.908524096,22249048.908524096,21812625.708524097,9499920.108524095,0.0,0.0,0.0,-83570.4,-56159308.8,-46214431.2,811000.0,,,811000.0,811000.0,811000.0,811000.0,769214.8,,,,,,,,,,,25.3,-80.7,11.0,24.8,7.3,-27.7
Rocksavage Power Company Ltd ,Natural Gas,810.0,969693482.5855008,893415782.5855008,932796362.5855008,895189682.5855008,888519818.5855008,700344506.5855008,843666839.9999999,843666839.9999999,843666839.9999999,839551391.9999999,-1921914215.9999995,-1432175903.9999995,125000.0,,,125000.0,125000.0,125000.0,125000.0,-1932724.0,,,,,,,,,,,5.0,-1615.0,-213.7,-3.1,-270.4,-805.0
Coryton Energy Company Ltd,Natural Gas,800.0,957721958.1091368,882385958.1091367,921280358.1091368,884137958.1091367,877550438.1091367,691698278.1091367,833251199.9999999,833251199.9999999,833251199.9999999,829186559.9999999,-1898186879.9999995,-1414494719.9999995,,,,,,,,,,,,,,,,,,,6.6,-1593.4,-209.4,-1.4,-265.4,-793.4
Spalding Energy Company Ltd,Natural Gas,950.0,1137294825.2546,1047833325.2546,1094020425.2546,1049913825.2546,1042091145.2546,821391705.2546,989485800.0,989485800.0,989485800.0,984659040.0,-2254096920.0,-1679712480.0,,,,,,,,,,,,,,,,,,,0.1,-1899.9,-256.4,-9.4,-322.9,-949.9
Spalding Expansion OCGT ,Natural Gas,300.0,359145734.2909263,330894734.2909263,345480134.2909263,331551734.2909263,329081414.2909263,259386854.29092628,312469200.0,312469200.0,312469200.0,310944960.0,-711820080.0,-530435520.0,,,,,,,,,,,,,,,,,,,30.0,-570.0,-51.0,27.0,-72.0,-270.0
Londonwaste Ltd,MSW,58.0,12385607.565935032,6923747.565935032,9743591.565935032,7050767.565935032,6573172.365935032,-6901109.234064968,224774592.0,224774592.0,224774592.0,224368128.0,-48369216.0,0.0,,,,,,,,,,,,,,,,,,,35.7,-80.3,20.0,35.1,16.0,-22.3
Marchwood Power,Natural Gas,898.0,1075042897.977506,990478237.977506,1034137201.977506,992444857.977506,985050366.777506,776431317.177506,935324472.0,935324472.0,935324472.0,930761913.6,-2130714772.7999997,-1587770323.1999998,252000.0,,,252000.0,252000.0,252000.0,252000.0,-2029279.1999999995,,,,,,,,,,,11.1,-1784.9,-231.4,2.1,-294.2,-886.9
Fellside CHP,Natural Gas,105.0,125701007.0018242,115813157.0018242,120918047.0018242,116043107.0018242,115178495.0018242,90785399.0018242,109364220.0,109364220.0,109364220.0,108830736.0,-249137028.0,-185652432.0,,,,,,,,,,,,,,,,,,,10.5,-199.5,-17.9,9.4,-25.2,-94.5
Peterborough Power Station,Natural Gas,245.0,293302349.6709231,270230699.6709231,282142109.6709231,270767249.6709231,268749821.6709231,211832597.6709231,0.0,0.0,0.0,-1244796.0,-836502912.0,-688372188.0,,,,,,,,,,,,,,,,,,,1.4,-488.6,-64.8,-1.1,-81.9,-243.6
Croydon,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Derby,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Exeter,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Heartlands,Natural Gas,100.0,119715244.76364207,110298244.76364207,115160044.76364207,110517244.76364207,109693804.76364207,86462284.76364209,0.0,0.0,0.0,-508079.99999999994,-341429759.99999994,-280968239.99999994,,,,,,,,,,,,,,,,,,,10.0,-190.0,-17.0,9.0,-24.0,-90.0
Peterborough Power Station PPL2 Gas Engines,Natural Gas,49.0,58660469.934184626,54046139.934184626,56428421.934184626,54153449.934184626,53749964.334184624,42366519.53418463,0.0,0.0,0.0,-248959.2,-167300582.39999998,-137674437.6,,,,,,,,,,,,,,,,,,,4.9,-93.1,-8.3,4.4,-11.8,-44.1
Thornhill,Natural Gas,40.0,47886097.90545684,44119297.90545684,46064017.90545684,44206897.90545684,43877521.90545684,34584913.90545684,0.0,0.0,0.0,-203232.0,-136571904.0,-112387296.0,,,,,,,,,,,,,,,,,,,4.0,-76.0,-6.8,3.6,-9.6,-36.0
Viking,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Riverside - Energy from Waste,MSW,80.0,17083596.642669007,9549996.642669007,13439436.642669007,9725196.642669007,9066444.642669007,-9518771.357330993,310033920.0,310033920.0,310033920.0,309473280.0,-66716160.0,0.0,,,,,,,,,,,,,,,,,,,24.0,-136.0,2.4,23.2,-3.2,-56.0
Little Barford,Natural Gas,723.0,865541219.6411325,797456309.6411325,832607123.6411325,799039679.6411325,793086208.4411324,625122318.8411324,753050772.0,753050772.0,753050772.0,749377353.6,-1715486392.7999997,-1278349603.2,,,,,,,,,,,,,,,,,,,6.6,-1439.4,-188.6,-0.6,-239.2,-716.4
Kings Lynn,Natural Gas,395.0,472875216.8163863,435678066.8163863,454882176.8163863,436543116.8163863,433290528.8163863,341526024.8163863,411417779.99999994,411417779.99999994,411417779.99999994,409410863.99999994,-937229771.9999998,-698406767.9999998,,,,,,,,,,,,,,,,,,,39.5,-750.5,-67.2,35.5,-94.8,-355.5
Didcot B,Natural Gas,1450.0,1735871049.0728102,1599324549.0728102,1669820649.0728102,1602500049.0728102,1590560169.0728102,1253703129.0728102,1510267799.9999998,1510267799.9999998,1510267799.9999998,1502900639.9999998,-3440463719.999999,-2563771680.0,,,,,,,,,,,,,,,,,,,145.0,-2755.0,-246.5,130.5,-348.0,-1305.0
Cheshire,Natural Gas,60.0,71829146.85818526,66178946.85818526,69096026.85818526,66310346.85818526,65816282.85818526,51877370.85818526,0.0,0.0,0.0,-304848.0,-204857856.0,-168580944.0,,,,,,,,,,,,,,,,,,,6.0,-114.0,-10.2,5.4,-14.4,-54.0
Great Yarmouth,Natural Gas,420.0,502804028.0072968,463252628.0072968,483672188.0072968,464172428.0072968,460713980.0072968,363141596.0072968,437456880.0,437456880.0,437456880.0,435322944.0,-996548112.0,-742609728.0,,,,,,,,,,,,,,,,,,,7.6,-832.4,-105.8,3.4,-135.2,-412.4
Hythe,Natural Gas,44.0,52674707.69600252,48531227.69600252,50670419.69600252,48627587.69600252,48265274.09600252,38043405.29600252,0.0,0.0,0.0,-223555.2,-150229094.39999998,-123626025.6,,,,,,,,,,,,,,,,,,,4.4,-83.6,-7.5,4.0,-10.6,-39.6
Staythorpe,Natural Gas,1828.0,2188394674.2793775,2016251914.2793777,2105125618.2793777,2020255234.2793777,2005202751.0793777,1580530565.4793775,1903978992.0,1903978992.0,1903978992.0,1894691289.5999997,-4337357020.799999,-3232120435.199999,427000.0,,129000.0,427000.0,427000.0,427000.0,427000.0,-4216851.199999999,,,,,,129000.0,129000.0,129000.0,129000.0,101136.8928,19.4,-3636.6,-474.2,1.1,-602.1,-1808.6
Pembroke,Natural Gas,2199.0,2632538232.3524895,2425458402.3524895,2532369384.3524895,2430274212.3524895,2412166766.7524896,1901305641.9524896,2290399236.0,2290399236.0,2290399236.0,2279226556.8,-5217641186.4,-3888092361.5999994,670000.0,,252000.0,670000.0,670000.0,670000.0,670000.0,-4916339.6,,,,,,252000.0,252000.0,252000.0,252000.0,218481.9624,47.2,-4350.8,-546.5,25.2,-700.5,-2151.8
Grimsby,Natural Gas,20.0,23943048.95272842,22059648.95272842,23032008.95272842,22103448.95272842,21938760.95272842,17292456.95272842,0.0,0.0,0.0,-101616.0,-68285952.0,-56193648.0,,,,,,,,,,,,,,,,,,,2.0,-38.0,-3.4,1.8,-4.8,-18.0
Didcot GT,Diesel/Gas Oil,100.0,51177337.563253015,41760337.563253015,46622137.563253015,41979337.563253015,41155897.563253015,17924377.563253015,0.0,0.0,0.0,-157680.0,-105960960.0,-87197040.0,,,,,,,,,,,,,,,,,,,10.0,-190.0,-17.0,9.0,-24.0,-90.0
Cowes,Diesel/Gas Oil,140.0,71648272.58855422,58464472.58855422,65270992.58855422,58771072.58855422,57618256.58855422,25094128.58855422,0.0,0.0,0.0,-220752.0,-148345344.0,-122075856.0,,,,,,,,,,,,,,,,,,,7.9,-272.1,-29.9,6.5,-39.7,-132.1
Little Barford GT,Diesel/Gas Oil,17.0,8700147.385753011,7099257.385753011,7925763.385753011,7136487.385753011,6996502.5857530115,3047144.185753011,0.0,0.0,0.0,-26805.6,-18013363.2,-14823496.8,,,,,,,,,,,,,,,,,,,6.6,-27.4,2.0,6.4,0.8,-10.4
Wilton 11,MSW,49.0,10463702.943634767,5849372.943634767,8231654.943634767,5956682.943634767,5553197.343634767,-5830247.456365233,189895776.0,189895776.0,189895776.0,189552384.0,-40863648.0,0.0,,,,,,,,,,,,,,,,,,,6.2,-91.8,-7.0,5.7,-10.5,-42.8
Wilton International ,Natural Gas,120.0,143658293.71637052,132357893.71637052,138192053.71637052,132620693.71637052,131632565.71637052,103754741.71637052,124987680.0,124987680.0,124987680.0,124377984.0,-284728032.0,-212174208.0,,,,,,,,,,,,,,,,,,,9.6,-230.4,-22.8,8.4,-31.2,-110.4
Peterhead,Natural Gas,1180.0,1412639888.2109766,1301519288.2109766,1358888528.2109766,1304103488.2109766,1294386896.2109766,1020254960.2109766,1229045520.0,1229045520.0,1229045520.0,1223050176.0,-2799825648.0,-2086379712.0,278000.0,,,278000.0,278000.0,278000.0,278000.0,-2719672.0,,,,,,,,,,,24.6,-2335.4,-294.0,12.8,-376.6,-1155.4
Keadby,Natural Gas,735.0,879907049.0127695,810692099.0127695,846426329.0127695,812301749.0127695,806249465.0127695,635497793.0127695,765549539.9999999,765549539.9999999,765549539.9999999,761815151.9999999,-1743959195.9999995,-1299567024.0,828000.0,,116000.0,828000.0,828000.0,828000.0,828000.0,-1039193.9999999998,,,,,,116000.0,116000.0,116000.0,116000.0,104796.836,8.9,-1461.1,-189.6,1.5,-241.0,-726.1
Medway,Natural Gas,755.0,903850097.965498,832751747.9654979,869458337.9654979,834405197.9654979,828188225.9654979,652790249.9654979,786380819.9999999,786380819.9999999,786380819.9999999,782544815.9999999,-1791413867.9999995,-1334929392.0,110000.0,,,110000.0,110000.0,110000.0,110000.0,-1808002.0,,,,,,,,,,,7.0,-1503.0,-196.9,-0.5,-249.7,-748.0
Burghfield,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,23.0,-77.0,9.5,22.5,6.0,-27.0
Chickerell,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,6.4,-93.6,-7.1,5.9,-10.6,-43.6
Keadby 2,Natural Gas,840.0,1005608056.0145936,926505256.0145936,967344376.0145936,928344856.0145936,921427960.0145936,726283192.0145936,874913760.0,874913760.0,874913760.0,870645888.0,-1993096224.0,-1485219456.0,,,,,,,,,,,,,,,,,,,84.0,-1596.0,-142.8,75.6,-201.6,-756.0
Bowmore,Diesel/Gas Oil,6.0,3070640.2537951814,2505620.2537951814,2797328.2537951814,2518760.2537951814,2469353.8537951815,1075462.6537951813,0.0,0.0,0.0,-9460.8,-6357657.6,-5231822.399999999,,,,,,,,,,,,,,,,,,,0.6,-11.4,-1.0,0.5,-1.4,-5.4
Kirkwall,Diesel/Gas Oil,16.0,8188374.010120481,6681654.010120481,7459542.010120481,6716694.010120481,6584943.610120481,2867900.4101204816,0.0,0.0,0.0,-25228.8,-16953753.599999998,-13951526.4,,,,,,,,,,,,,,,,,,,1.6,-30.4,-2.7,1.4,-3.8,-14.4
Stornoway,Diesel/Gas Oil,23.0,11770787.63954819,9604877.63954819,10723091.63954819,9655247.63954819,9465856.43954819,4122606.83954819,0.0,0.0,0.0,-36266.4,-24371020.8,-20055319.2,,,,,,,,,,,,,,,,,,,1.8,-44.2,-4.4,1.6,-6.0,-21.2
Lerwick,Diesel/Gas Oil,67.0,34288816.16737951,27979426.167379513,31236832.167379513,28126156.167379513,27574451.367379513,12009332.967379514,0.0,0.0,0.0,-105645.6,-70993843.19999999,-58422016.8,1500000.0,257000.0,,1500000.0,1500000.0,1500000.0,1500000.0,1447177.2,257000.0,257000.0,257000.0,257000.0,246435.44,,,,,,3.8,-130.2,-14.3,3.1,-19.0,-63.2
Tiree,Diesel/Gas Oil,2.5,1279433.4390813252,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252,0.0,0.0,0.0,-3942.0,-2649024.0,-2179926.0,,,,,,,,,,,,,,,,,,,0.3,-4.7,-0.4,0.3,-0.6,-2.2
Loch Carnan,Diesel/Gas Oil,11.0,5629507.131957832,4593637.131957832,5128435.131957832,4617727.131957832,4527148.731957832,1971681.5319578317,0.0,0.0,0.0,-17344.8,-11655705.6,-9591674.4,,,,,,,,,,,,,,,,,,,1.1,-20.9,-1.9,1.0,-2.6,-9.9
Barra,Diesel/Gas Oil,2.5,1279433.4390813252,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252,0.0,0.0,0.0,-3942.0,-2649024.0,-2179926.0,,,,,,,,,,,,,,,,,,,0.2,-4.8,-0.5,0.2,-0.7,-2.3
Arnish,Diesel/Gas Oil,10.0,5117733.756325301,4176033.756325301,4662213.756325301,4197933.756325301,4115589.756325301,1792437.7563253008,0.0,0.0,0.0,-15768.0,-10596096.0,-8719704.0,,,,,,,,,,,,,,,,,,,0.5,-19.5,-2.2,0.4,-2.9,-9.5
West Burton CCGT,Natural Gas,1332.0,1594607060.2517126,1469172620.2517126,1533931796.2517126,1472089700.2517126,1461121479.4517126,1151677633.0517125,1387363248.0,1387363248.0,1387363248.0,1380595622.4,-3160481155.2,-2355133708.7999997,751000.0,,105000.0,751000.0,751000.0,751000.0,751000.0,-2632812.8,,,,,,105000.0,105000.0,105000.0,105000.0,84697.1232,23.8,-2640.2,-335.8,10.5,-429.1,-1308.2
Ratcliffe (Steam),Coal,2021.0,4481311494.797017,4290993924.797017,4389250902.797017,4295419914.797017,4278778192.397017,3809269173.197017,7905703338.0,7905703338.0,7905703338.0,7894195764.0,172613610.0,1542014916.0,1070000.0,954000.0,,1070000.0,1070000.0,1070000.0,1070000.0,-4683787.0,954000.0,954000.0,954000.0,954000.0,-196757.40000000017,,,,,,3.3,-4038.7,-542.4,-16.9,-683.8,-2017.7
Killingholme,Natural Gas,600.0,718291468.5818526,661789468.5818526,690960268.5818526,663103468.5818526,658162828.5818526,518773708.58185256,0.0,0.0,0.0,-3048480.0,-2048578560.0,-1685809440.0,,,,,,,,,,,,,,,,,,,20.4,-1179.6,-141.6,14.4,-183.6,-579.6
Connahs Quay,Sour Gas,1380.0,1709038321.798201,1579083721.798201,1646176561.798201,1582105921.798201,1570742449.798201,1250147473.798201,1486922400.0,1486922400.0,1486922400.0,1479669120.0,-3387281760.0,-2524141440.0,284000.0,,,284000.0,284000.0,284000.0,284000.0,-3342640.0,,,,,,,,,,,17.3,-2742.7,-355.3,3.5,-451.9,-1362.7
Cottam Development Centre,Natural Gas,445.0,532732839.1982072,490827189.1982072,512462199.1982072,491801739.1982072,488137431.1982072,384757167.1982072,463495980.0,463495980.0,463495980.0,461235024.0,-1055866452.0,-786812688.0,,,,,,,,,,,,,,,,,,,24.7,-865.3,-95.5,20.2,-126.6,-420.3
Enfield,Natural Gas,408.0,488438198.63565975,450016838.63565975,469852982.63565975,450910358.63565975,447550723.43565977,352766121.83565974,424958112.0,424958112.0,424958112.0,422885145.6,-968075308.8,-721392307.2,,,,,,,,,,,,,,,,,,,40.8,-775.2,-69.4,36.7,-97.9,-367.2
Grain,Natural Gas,1365.0,1634113091.0237143,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143,1421734859.9999998,1421734859.9999998,1421734859.9999998,1414799567.9999998,-3238781363.999999,-2413481616.0,349000.0,,165000.0,349000.0,349000.0,349000.0,349000.0,-3118645.9999999995,,,,,,165000.0,165000.0,165000.0,165000.0,144194.124,11.7,-2718.3,-356.9,-2.0,-452.4,-1353.3
Ratcliffe (OCGT),Diesel/Gas Oil,34.0,17400294.771506023,14198514.771506025,15851526.771506025,14272974.771506025,13993005.171506025,6094288.371506022,0.0,0.0,0.0,-53611.2,-36026726.4,-29646993.6,1070000.0,954000.0,,1070000.0,1070000.0,1070000.0,1070000.0,1043194.4,954000.0,954000.0,954000.0,954000.0,948638.88,,,,,,3.3,-64.7,-5.9,3.0,-8.3,-30.7
Taylors Lane,Diesel/Gas Oil,144.0,73695366.09108433,60134886.09108433,67135878.09108433,60450246.09108433,59264492.49108433,25811103.691084333,0.0,0.0,0.0,-227059.2,-152583782.39999998,-125563737.6,,,,,,,,,,,,,,,,,,,14.4,-273.6,-24.5,13.0,-34.6,-129.6
Grain (OCGT),Diesel/Gas Oil,50.0,25588668.781626508,20880168.781626508,23311068.781626508,20989668.781626508,20577948.781626508,8962188.781626508,0.0,0.0,0.0,-78840.0,-52980480.0,-43598520.0,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
SELCHP,MSW,35.0,7474073.5311676925,4178123.531167693,5879753.5311676925,4254773.5311676925,3966569.531167693,-4164462.468832307,135639840.0,135639840.0,135639840.0,135394560.0,-29188320.0,0.0,,,,,,,,,,,,,,,,,,,2.0,-68.0,-7.5,1.6,-9.9,-33.0
Runcorn Energy from Waste,MSW,91.0,19432591.181036,10863121.181036,15287359.181036,11062411.181036,10313080.781036,-10827602.418964002,352663584.0,352663584.0,352663584.0,352025856.0,-75889632.0,0.0,125000.0,,,125000.0,125000.0,125000.0,125000.0,-193864.0,,,,,,,,,,,18.2,-163.8,-6.4,17.3,-12.7,-72.8
Rye House,Natural Gas,715.0,855964000.060041,788632450.060041,823394320.060041,790198300.060041,784310704.060041,618205336.060041,744718259.9999999,744718259.9999999,744718259.9999999,741085487.9999999,-1696504523.9999995,-1264204656.0,,,,,,,,,,,,,,,,,,,37.0,-1393.0,-156.1,29.9,-206.1,-678.0
Damhead Creek,Natural Gas,805.0,963707720.3473188,887900870.3473189,927038360.3473188,889663820.3473189,883035128.3473189,696021392.3473189,838459019.9999999,838459019.9999999,838459019.9999999,834368975.9999999,-1910050547.9999995,-1423335311.9999995,262000.0,,,262000.0,262000.0,262000.0,262000.0,-1783021.9999999998,,,,,,,,,,,6.6,-1603.4,-210.8,-1.5,-267.1,-798.4
Shoreham,Natural Gas,420.0,502804028.0072968,463252628.0072968,483672188.0072968,464172428.0072968,460713980.0072968,363141596.0072968,437456880.0,437456880.0,437456880.0,435322944.0,-996548112.0,-742609728.0,,,,,,,,,,,,,,,,,,,42.0,-798.0,-71.4,37.8,-100.8,-378.0
Blackburn,Natural Gas,60.0,71829146.85818526,66178946.85818526,69096026.85818526,66310346.85818526,65816282.85818526,51877370.85818526,62493840.0,62493840.0,62493840.0,62188992.0,-142364016.0,-106087104.0,,,,,,,,,,,,,,,,,,,1.2,-118.8,-15.0,0.6,-19.2,-58.8
VPI,Natural Gas,1268.0,1517989303.6029818,1398581743.6029818,1460229367.6029818,1401358663.6029818,1390917444.4029818,1096341770.802982,1320703152.0,1320703152.0,1320703152.0,1314260697.6,-3008626204.799999,-2241974131.2,,,,,,,,,,,,,,,,,,,43.5,-2492.5,-298.9,30.8,-387.6,-1224.5
